,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,trial_start,latency
424,RadialMaze_2023_01_20_ARe_Sepp_S1,586.6666667,35200,,,Sepp,arm_visited,arm_1,557.9666667,28.7
425,RadialMaze_2023_01_20_ARe_Sepp_S1,591.15,35469,,,Sepp,arm_visited,arm_7,557.9666667,33.18333333
426,RadialMaze_2023_01_20_ARe_Sepp_S1,595.2833333,35717,,,Sepp,arm_visited,arm_5,557.9666667,37.31666667
427,RadialMaze_2023_01_20_ARe_Sepp_S1,599.3666667,35962,,,Sepp,arm_visited,arm_4,557.9666667,41.4
428,RadialMaze_2023_01_20_ARe_Sepp_S1,603.7333333,36224,,,Sepp,arm_visited,arm_2,557.9666667,45.76666667
429,RadialMaze_2023_01_20_ARe_Sepp_S1,757.15,45429,823.15,49389,Sepp,trial,4,757.15,0
430,RadialMaze_2023_01_20_ARe_Sepp_S1,768.4,46104,,,Sepp,forced_choice ,arm_4,757.15,11.25
431,RadialMaze_2023_01_20_ARe_Sepp_S1,775.0166667,46501,,,Sepp,forced_choice ,arm_2,757.15,17.86666667
432,RadialMaze_2023_01_20_ARe_Sepp_S1,785.0166667,47101,,,Sepp,arm_visited,arm_6,757.15,27.86666667
433,RadialMaze_2023_01_20_ARe_Sepp_S1,791.45,47487,,,Sepp,arm_visited,arm_7,757.15,34.3
434,RadialMaze_2023_01_20_ARe_Sepp_S1,796.0333333,47762,,,Sepp,arm_visited,arm_8,757.15,38.88333333
435,RadialMaze_2023_01_20_ARe_Sepp_S1,801.0833333,48065,,,Sepp,arm_visited,arm_1,757.15,43.93333333
436,RadialMaze_2023_01_20_ARe_Sepp_S1,808,48480,,,Sepp,arm_visited,arm_7,757.15,50.85
437,RadialMaze_2023_01_20_ARe_Sepp_S1,813.3,48798,,,Sepp,arm_visited,arm_6,757.15,56.15
438,RadialMaze_2023_01_20_ARe_Sepp_S1,821.75,49305,,,Sepp,arm_visited,arm_4,757.15,64.6
439,RadialMaze_2023_01_20_ARe_Sepp_S1,915.7333333,54944,977.7666667,58666,Sepp,trial,5,915.7333333,0
440,RadialMaze_2023_01_20_ARe_Sepp_S1,925.4333333,55526,,,Sepp,forced_choice ,arm_6,915.7333333,9.7
441,RadialMaze_2023_01_20_ARe_Sepp_S1,936.5833333,56195,,,Sepp,forced_choice ,arm_5,915.7333333,20.85
442,RadialMaze_2023_01_20_ARe_Sepp_S1,945.65,56739,,,Sepp,arm_visited,arm_1,915.7333333,29.91666667
443,RadialMaze_2023_01_20_ARe_Sepp_S1,949.6166667,56977,,,Sepp,arm_visited,arm_2,915.7333333,33.88333333
