ID,Subject,trial_number,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,condition,first_error_position,return_to_arm,Lag_from_last_choice,adjacent_arms,total_mistakes,time_delay,return_delay,time_fe_after,means,time_fe_before,means_of_FC
59,Goofy2,5,555.34931,558.04931,562.8493,566.76596,570.96596,575.66595,583.66594,589.09927,#N/A,self-ordered,4,1,3,1,3,11.41665,11.41665,4.2,4.821422857,3.91666,5.249994
60,Goofy2,6,678.88249,681.69916,686.03248,689.66581,694.44914,698.19913,702.08246,707.28246,713.14912,self-ordered,7,1,6,1,1,23.19997,23.19997,5.2,4.28332875,3.88333,4.51944
61,Kito,1,326.03333,330.5,336.33333,339.88333,343.65,347.36667,351.41667,355.33333,361.91667,self-ordered,7,1,6,4,1,25.38334,25.38334,3.91666,4.4854175,4.05,4.26389
62,Kito,2,456.55,459.65,462.85,466.36667,469.91667,473.48333,477.78333,484.63333,581.86667,self-ordered,4,1,3,5,1,9.81667,9.81667,3.55,15.66458375,3.51667,19.83611167
63,Kito,3,584.15,587.26667,589.8,592.96667,596.6,599.75,603.9,609.56667,612.63333,self-ordered,5,2,3,4,3,12.45,9.33333,3.15,3.56041625,3.63333,3.805555
64,Kito,4,713.23333,719.36667,727.18333,731.26667,734.96667,739.05,742.45,746.16667,750.58333,forced,8,1,7,6,1,32.93334,32.93334,4.41666,4.66875,3.71667,3.9
65,Kito,5,854.6,860.68333,867.73333,871.63333,880.25,883.4,887.53333,890.85,895.11667,forced,5,2,3,5,2,25.65,19.56667,3.15,5.06458375,8.61667,4.56389
66,Kito,6,1000.28333,1006.46667,1012.95,1016.43333,1019.06667,1023.06667,1026.33333,1030.3,1035.33333,forced,9,#N/A,#N/A,7,0,35.05,#N/A,#N/A,4.38125,#N/A,3.730555
67,Lea3,1,242.46667,251.73333,261.8,266.46667,272.23333,277.48333,282.83333,288.83333,294.61667,forced,8,2,6,5,1,46.36666,37.1,5.78334,6.51875,6,5.469445
68,Lea3,2,382.36667,390.25,398.8,403.51667,409.06667,414.01667,419.06667,424.75,430.91667,forced,8,2,6,3,1,42.38333,34.5,6.16667,6.06875,5.68333,5.352778333
69,Lea3,3,517.91667,527.28333,538.1,542.23333,548.01667,552.71667,558.16667,563.53333,#N/A,forced,9,#N/A,#N/A,1,0,#N/A,#N/A,#N/A,6.516665714,#N/A,5.086666
70,Lea3,4,653.86667,657.83333,662.38333,666.58333,672.28333,676.9,683.13333,689.75,775.88333,self-ordered,8,3,5,3,1,35.88333,27.36667,86.13333,15.2520825,6.61667,18.91666667
71,Lea3,5,779.26667,784.28333,788.95,792.95,798.58333,804.28333,809.73333,#N/A,#N/A,self-ordered,8,1,7,5,1,#N/A,#N/A,#N/A,5.077776667,#N/A,5.1958325
72,Lenny4,1,180.78327,184.0666,187.9666,191.66659,195.59993,199.23326,203.36659,206.83326,209.84992,self-ordered,3,1,2,1,3,7.18333,7.18333,3.69999,3.63333125,3.9,3.64722
73,Lenny4,2,318.58321,322.01655,325.33321,328.44988,332.28321,335.74987,339.13321,343.44987,346.8832,self-ordered,3,1,2,1,3,6.75,6.75,3.11667,3.53749875,3.31666,3.591665
74,Lenny4,3,428.16651,430.44984,434.84984,438.58317,442.23317,444.93317,449.3665,453.39983,457.41649,self-ordered,5,2,3,1,3,14.06666,11.78333,2.7,3.6562475,3.65,3.761108333
75,Lenny4,4,557.78312,565.71645,567.68312,571.74978,574.43312,577.94978,581.06645,584.63311,588.06645,forced,7,4,3,1,2,23.28333,9.31667,3.56666,3.78541625,3.11667,3.397221667
76,Lenny4,5,678.39974,685.51641,688.21641,691.06641,694.44974,697.9164,701.1664,704.5164,709.38307,forced,6,1,5,#N/A,3,19.51666,19.51666,3.25,3.87291625,3.46666,3.527776667
77,Lenny4,6,804.1497,810.91636,812.56636,816.34969,819.43302,822.24969,826.53302,829.88302,832.41635,forced,5,3,2,1,3,15.28332,6.86666,2.81667,3.53333125,3.08333,3.308331667
78,Lexi3,1,250.33333,258.28333,266.51667,270.85,275.98333,283.56667,289.6,295.61667,301.45,forced,5,3,2,2,4,25.65,9.46666,7.58334,6.38958375,5.13333,5.822221667
79,Lexi3,2,384.86667,389.75,399.6,403.96667,417.35,422.46667,427.6,434.1,439.58333,forced,7,2,5,2,1,42.73333,37.85,6.5,6.8395825,5.13333,6.663888333
80,Lexi3,3,523.55,530.9,541.9,546.51667,551.83333,557.4,563.1,569.66667,575.68333,forced,8,3,5,2,1,46.11667,27.76667,6.01666,6.51666625,6.56667,5.630555
81,Lexi3,4,666.38333,672.25,677.55,682.95,688.76667,694.73333,702.78333,707.93333,#N/A,self-ordered,6,1,5,2,3,28.35,28.35,8.05,5.935714286,5.96666,6.076666
82,Lexi3,5,795.03333,799.5,805.18333,809.85,813.78333,820.46667,827.36667,832.85,#N/A,self-ordered,9,#N/A,#N/A,7,0,#N/A,#N/A,#N/A,5.402381429,#N/A,5.533334
83,Lexi3,6,925.03333,928.88333,934.81667,938.88333,945.66667,953.8,960.41667,965.56667,971.98333,self-ordered,5,1,4,1,3,20.63334,20.63334,8.13333,5.86875,6.78334,6.194443333
84,Lilo3,1,315.39985,326.64984,339.7665,345.1665,350.88316,358.93316,369.36649,375.03315,381.18315,forced,6,2,4,3,2,43.53331,32.28332,10.43333,8.2229125,8.05,6.902775
85,Lilo3,2,494.96642,502.88309,513.96642,518.64975,522.96641,527.61641,534.68307,540.18307,544.79973,forced,7,2,5,4,1,39.71665,31.79998,5.5,6.22916375,7.06666,5.138885
86,Lilo3,3,633.94969,640.84969,652.94968,657.81634,663.73301,668.03301,672.99967,678.94967,683.91633,forced,6,3,3,3,2,34.08332,15.08333,4.96666,6.24583,4.3,5.161108333
87,Lilo3,4,784.53295,788.81628,792.88295,797.64961,804.34961,809.93294,814.71627,819.98293,#N/A,self-ordered,9,#N/A,#N/A,5,0,#N/A,#N/A,#N/A,5.064282857,#N/A,5.419996
88,Lilo3,5,930.66621,934.11621,938.99954,943.66621,951.23287,958.49953,964.61619,970.38286,#N/A,self-ordered,7,1,6,3,2,33.94998,33.94998,5.76667,5.673807143,6.11666,6.276664
89,Lilo3,6,1082.01614,1087.01614,1092.11613,1096.74946,1103.79946,1109.96612,1123.63278,1129.36611,1136.74944,self-ordered,8,1,7,6,1,47.34997,47.34997,7.38333,6.8416625,5.73333,7.438885
90,Loki6,1,274.13315,281.06647,288.86647,294.43313,300.91646,309.03312,315.19978,321.88311,#N/A,forced,8,2,6,1,1,47.74996,40.81664,#N/A,6.821422857,6.68333,6.603328
91,Loki6,2,411.76638,415.24972,423.18304,431.43304,440.98303,447.89969,454.56636,469.14968,#N/A,forced,4,1,3,1,2,19.66666,19.66666,9.54999,8.197614286,8.25,9.193328
92,Loki6,3,560.09962,568.14961,577.08294,584.3496,591.58293,598.28292,605.51625,614.69958,#N/A,forced,9,#N/A,#N/A,1,0,#N/A,#N/A,#N/A,7.799994286,#N/A,7.523328
93,Loki6,4,713.36618,720.38284,729.06617,738.04949,744.93282,753.26615,761.44948,774.86614,871.01607,self-ordered,4,1,3,1,2,24.68331,24.68331,6.88333,19.70623625,8.98332,23.65831667
94,Loki6,5,876.6994,886.84939,894.13272,904.14938,911.49938,921.19937,931.31603,#N/A,#N/A,self-ordered,5,1,4,1,2,34.79998,34.79998,9.69999,9.102771667,7.35,9.2958275
95,Loki6,6,1028.44929,1041.01595,1051.18261,1060.76594,1068.11594,1087.59926,1095.79925,1114.7659,#N/A,self-ordered,5,1,4,1,2,39.66665,39.66665,19.48332,12.33094429,7.35,12.716658
96,Ludwig2,1,312.51639,322.68305,336.24971,341.11637,346.0497,351.84969,359.03302,365.28301,372.69967,forced,4,1,3,3,2,28.59998,28.59998,4.93333,7.52291,4.86666,6.074993333
