ID,Subject,trial_number,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,condition,first_error_position,return_to_arm,Lag_from_last_choice,adjacent_arms,total_mistakes,time_delay,return_delay,time_fe_after,means,time_fe_before,means_of_FC
128,Nele4,6,1023.54947,1033.6828,1046.68279,1051.46613,1058.81612,1061.73279,1066.54945,1073.19945,#N/A,forced,5,2,3,5,1,35.26665,25.13332,2.91667,7.092854286,7.34999,5.303332
129,Reni,1,205.28321,217.3332,233.68319,246.24985,253.26651,259.64984,265.91651,272.89983,279.04983,forced,5,3,2,2,3,47.9833,19.58332,6.38333,9.2208275,7.01666,7.561106667
130,Reni,2,400.51642,408.34975,416.63308,423.53308,430.79974,440.2164,449.49973,456.34972,551.61633,forced,8,1,7,1,1,55.8333,55.8333,95.26661,18.88748875,6.84999,22.49720833
131,Reni,3,559.56633,567.23299,573.71632,579.16632,584.76631,590.54964,597.24964,603.7163,#N/A,forced,7,1,6,6,1,37.68331,37.68331,6.46666,6.307138571,6.7,5.999996
132,Reni,4,692.69958,697.73291,704.24957,714.01623,721.59956,727.61623,734.88289,739.86622,746.03288,self-ordered,6,1,5,2,2,34.91665,34.91665,7.26666,6.6666625,6.01667,6.963885
133,Reni,5,830.6995,837.03283,843.93282,849.83282,856.39948,861.63281,869.76614,878.09947,886.04946,self-ordered,7,1,6,3,2,39.06664,39.06664,8.33333,6.918745,8.13333,7.01944
134,Reni,6,980.31607,985.53274,993.0994,999.96606,1006.18272,1011.14939,1018.66605,1025.09938,#N/A,self-ordered,6,1,5,2,3,30.83332,30.83332,7.51666,6.397615714,4.96667,6.399996
135,Tenya,1,211,217.03333,224.3,229.53333,234.7,243.51667,249.41667,255.25,261.61667,forced,6,1,5,6,1,32.51667,32.51667,5.9,6.32708375,8.81667,6.219445
136,Tenya,2,354.7,363.95,367.51667,373.21667,380.33333,385.45,393.63333,400.2,407.1,forced,6,1,5,4,1,30.75,30.75,8.18333,6.55,5.11667,6.597221667
137,Tenya,3,502.18333,510.86667,515.51667,521.15,527.88333,533.28333,539.76667,545.85,552.23333,forced,5,1,4,2,1,25.7,25.7,5.4,6.25625,6.73333,6.119443333
138,Tenya,4,658.76667,662.43333,668.31667,674.96667,680.46667,686.46667,692.83333,698.8,705.8,self-ordered,8,1,7,4,1,40.03333,40.03333,7,5.87916625,5.96667,6.247221667
139,Tenya,5,800,805.93333,812.26667,817.53333,823.63333,831.16667,836.26667,844.18333,#N/A,self-ordered,8,3,5,1,1,44.18333,31.91666,#N/A,6.311904286,7.91666,6.383332
140,Tenya,6,928.65,932.5,938.88333,944.8,950.21667,956.95,963.25,970.55,978.53333,self-ordered,9,#N/A,#N/A,7,0,49.88333,#N/A,#N/A,6.23541625,#N/A,6.608333333
141,Teodor,1,195.51657,203.83323,210.7999,220.69989,227.04989,232.19989,238.83322,245.11655,251.38321,self-ordered,7,1,6,3,2,43.31665,43.31665,6.28333,6.98333,6.63333,6.763885
142,Teodor,2,343.68316,349.5165,355.61649,361.93316,367.26649,373.19982,380.48315,385.64981,391.21647,self-ordered,7,5,2,1,2,36.79999,13.21666,5.16666,5.94166375,7.28333,5.93333
143,Teodor,3,485.6831,490.23309,496.24976,500.93309,507.51642,515.91641,519.58308,526.13308,535.19974,self-ordered,6,1,5,2,2,30.23331,30.23331,3.66667,6.18958,8.39999,6.491663333
144,Teodor,4,707.63299,716.23298,727.36631,731.11631,736.49964,741.79964,748.53297,756.63296,#N/A,forced,9,#N/A,#N/A,2,0,#N/A,#N/A,#N/A,6.999995714,#N/A,5.85333
