session,subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,block,condition,trial_num,Age,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm,first_error_position,return_to_arm,Lag_from_last_choice,adjacent_arms,total_mistakes
1,subj.07,Zeus3,m,"Mix (Border Collie, Tibet Terrier)",no,14.01.2015,12.01.2023,1,self-ordered,3,95,4,5,6,7,8,3,4,5,7,1,6,4,2
1,subj.07,Zeus3,m,"Mix (Border Collie, Tibet Terrier)",no,14.01.2015,12.01.2023,2,forced,1,95,2,6,7,8,2,4,5,7,5,1,4,2,2
1,subj.07,Zeus3,m,"Mix (Border Collie, Tibet Terrier)",no,14.01.2015,12.01.2023,2,forced,2,95,7,8,3,4,5,6,7,8,7,1,6,5,2
1,subj.07,Zeus3,m,"Mix (Border Collie, Tibet Terrier)",no,14.01.2015,12.01.2023,2,forced,3,95,1,3,5,6,7,8,1,7,7,1,6,4,2
1,subj.08,Ava2,f,Louisiana Catahoula Leopard Dog,yes,28.10.2016,16.01.2023,1,forced,1,74,3,2,5,4,3,2,8,6,5,1,4,3,2
1,subj.08,Ava2,f,Louisiana Catahoula Leopard Dog,yes,28.10.2016,16.01.2023,1,forced,2,74,5,1,7,6,4,3,5,7,7,1,6,1,2
1,subj.08,Ava2,f,Louisiana Catahoula Leopard Dog,yes,28.10.2016,16.01.2023,1,forced,3,74,7,8,4,5,2,1,6,5,8,4,4,1,1
1,subj.08,Ava2,f,Louisiana Catahoula Leopard Dog,yes,28.10.2016,16.01.2023,2,self-ordered,1,74,2,3,6,7,1,2,4,5,6,1,5,1,1
1,subj.08,Ava2,f,Louisiana Catahoula Leopard Dog,yes,28.10.2016,16.01.2023,2,self-ordered,2,74,6,7,8,2,5,7,4,2,6,2,4,2,2
1,subj.08,Ava2,f,Louisiana Catahoula Leopard Dog,yes,28.10.2016,16.01.2023,2,self-ordered,3,74,5,6,7,2,3,4,5,1,7,1,6,3,1
1,subj.09,Maze,f,Mix/Greyster,no,28.11.2021,16.01.2023,1,forced,1,13,5,4,7,1,5,3,1,7,5,1,4,1,3
1,subj.09,Maze,f,Mix/Greyster,no,28.11.2021,16.01.2023,1,forced,2,13,7,6,3,1,5,3,2,1,6,3,3,2,2
1,subj.09,Maze,f,Mix/Greyster,no,28.11.2021,16.01.2023,1,forced,3,13,8,4,5,3,2,7,5,7,7,3,4,1,2
1,subj.09,Maze,f,Mix/Greyster,no,28.11.2021,16.01.2023,2,self-ordered,1,13,6,4,2,1,7,5,4,0,7,2,5,1,1
1,subj.09,Maze,f,Mix/Greyster,no,28.11.2021,16.01.2023,2,self-ordered,2,13,5,7,4,2,8,7,6,5,6,2,4,3,2
1,subj.09,Maze,f,Mix/Greyster,no,28.11.2021,16.01.2023,2,self-ordered,3,13,5,7,4,2,1,7,6,4,6,2,4,1,2
1,subj.10,Twix,m,Mix (Labrador Retriever),yes,01.01.2010,24.01.2023,1,self-ordered,1,156,1,2,3,4,5,7,1,3,7,1,6,4,2
1,subj.10,Twix,m,Mix (Labrador Retriever),yes,01.01.2010,24.01.2023,1,self-ordered,2,156,3,1,8,6,4,2,7,5,#N/A,#N/A,#N/A,1,0
1,subj.10,Twix,m,Mix (Labrador Retriever),yes,01.01.2010,24.01.2023,1,self-ordered,3,156,1,3,5,2,1,7,5,2,5,1,4,1,3
1,subj.10,Twix,m,Mix (Labrador Retriever),yes,01.01.2010,24.01.2023,2,forced,1,156,3,5,7,1,8,6,5,3,7,2,5,1,2
1,subj.10,Twix,m,Mix (Labrador Retriever),yes,01.01.2010,24.01.2023,2,forced,2,156,6,8,6,1,8,7,3,5,3,1,2,2,2
