subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,age,block,condition,trial_num,first_arm_,second_arm_,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm
subj.08,Ava2,f,LouisianaCatahoulaLeopardDog,yes,28/10/2016,16/01/2023,74,1,forced,3,,,7,8,4,5,2,1,6,5
subj.08,Ava2,f,LouisianaCatahoulaLeopardDog,yes,28/10/2016,16/01/2023,74,2,self-ordered,1,,,2,3,6,7,1,2,4,5
subj.08,Ava2,f,LouisianaCatahoulaLeopardDog,yes,28/10/2016,16/01/2023,74,2,self-ordered,2,,,6,7,8,2,5,7,4,2
subj.08,Ava2,f,LouisianaCatahoulaLeopardDog,yes,28/10/2016,16/01/2023,74,2,self-ordered,3,,,5,6,7,2,3,4,5,1
subj.09,Maze,f,Mix/Greyster,no,28/11/2021,16/01/2023,13,1,forced,1,,,5,4,7,1,5,3,1,7
subj.09,Maze,f,Mix/Greyster,no,28/11/2021,16/01/2023,13,1,forced,2,,,7,6,3,1,5,3,2,1
subj.09,Maze,f,Mix/Greyster,no,28/11/2021,16/01/2023,13,1,forced,3,,,8,4,5,3,2,7,5,7
subj.09,Maze,f,Mix/Greyster,no,28/11/2021,16/01/2023,13,2,self-ordered,1,,,6,4,2,1,7,5,4,
subj.09,Maze,f,Mix/Greyster,no,28/11/2021,16/01/2023,13,2,self-ordered,2,,,5,7,4,2,8,7,6,5
subj.09,Maze,f,Mix/Greyster,no,28/11/2021,16/01/2023,13,2,self-ordered,3,,,5,7,4,2,1,7,6,4
subj.10,Twix,m,Mix(LabradorRetriever),yes,01/01/2010,24/01/2023,156,1,self-ordered,1,,,1,2,3,4,5,7,1,3
subj.10,Twix,m,Mix(LabradorRetriever),yes,01/01/2010,24/01/2023,156,1,self-ordered,2,,,3,1,8,6,4,2,7,5
subj.10,Twix,m,Mix(LabradorRetriever),yes,01/01/2010,24/01/2023,156,1,self-ordered,3,,,1,3,5,2,1,7,5,2
subj.10,Twix,m,Mix(LabradorRetriever),yes,01/01/2010,24/01/2023,156,2,forced,1,,,3,5,7,1,8,6,5,3
subj.10,Twix,m,Mix(LabradorRetriever),yes,01/01/2010,24/01/2023,156,2,forced,2,,,6,8,6,1,8,7,3,5
subj.10,Twix,m,Mix(LabradorRetriever),yes,01/01/2010,24/01/2023,156,2,forced,3,,,2,7,8,7,6,3,2,1
subj.11,Blue5,f,AustralianShepherd,yes,15/09/2013,23/01/2023,112,1,self-ordered,1,,,2,5,4,6,5,3,2,5
subj.11,Blue5,f,AustralianShepherd,yes,15/09/2013,23/01/2023,112,1,self-ordered,2,,,5,6,5,3,2,1,8,7
subj.11,Blue5,f,AustralianShepherd,yes,15/09/2013,23/01/2023,112,1,self-ordered,3,,,7,5,3,2,1,8,7,5
subj.11,Blue5,f,AustralianShepherd,yes,15/09/2013,23/01/2023,112,2,forced,1,,,7,6,3,5,3,2,1,8
subj.11,Blue5,f,AustralianShepherd,yes,15/09/2013,23/01/2023,112,2,forced,2,,,1,8,6,5,3,2,1,7
subj.11,Blue5,f,AustralianShepherd,yes,15/09/2013,23/01/2023,112,2,forced,3,,,5,2,7,5,3,2,8,7
subj.12,Oscar2,m,IlkyMoonHavaneser,yes,24/11/2020,25/01/2023,26,1,self-ordered,1,,,4,3,1,2,8,7,6,5
subj.12,Oscar2,m,IlkyMoonHavaneser,yes,24/11/2020,25/01/2023,26,1,self-ordered,3,,,6,5,8,7,1,2,7,1
subj.12,Oscar2,m,IlkyMoonHavaneser,yes,24/11/2020,25/01/2023,26,2,forced,1,,,6,3,1,2,4,7,1,
subj.12,Oscar2,m,IlkyMoonHavaneser,yes,24/11/2020,25/01/2023,26,2,forced,2,,,4,8,7,1,2,6,5,1
subj.12,Oscar2,m,IlkyMoonHavaneser,yes,24/11/2020,25/01/2023,26,2,forced,3,,,5,1,8,7,3,2,1,6
subj.14,Sepp,m,Beagle,yes,11/06/2012,21/01/2023,127,1,self-ordered,1,,,1,2,3,1,2,4,5,8
subj.14,Sepp,m,Beagle,yes,11/06/2012,21/01/2023,127,1,self-ordered,2,,,2,5,7,8,2,3,5,7
subj.14,Sepp,m,Beagle,yes,11/06/2012,21/01/2023,127,1,self-ordered,3,,,4,2,3,2,1,7,5,4
subj.14,Sepp,m,Beagle,yes,11/06/2012,21/01/2023,127,2,forced,1,,,4,2,6,7,8,1,7,6
subj.14,Sepp,m,Beagle,yes,11/06/2012,21/01/2023,127,2,forced,2,,,6,5,1,2,3,1,8,7
subj.14,Sepp,m,Beagle,yes,11/06/2012,21/01/2023,127,2,forced,3,,,1,7,5,3,2,7,6,5
subj.15,Albert,m,Dansky,yes,26/06/2018,24/01/2023,54,1,self-ordered,1,,,6,7,4,2,8,6,4,1
subj.15,Albert,m,Dansky,yes,26/06/2018,24/01/2023,54,1,self-ordered,2,,,5,4,3,8,7,6,4,3
subj.15,Albert,m,Dansky,yes,26/06/2018,24/01/2023,54,1,self-ordered,3,,,5,3,6,7,5,3,1,8
subj.15,Albert,m,Dansky,yes,26/06/2018,24/01/2023,54,2,forced,1,,,8,3,4,7,6,2,1,8
subj.15,Albert,m,Dansky,yes,26/06/2018,24/01/2023,54,2,forced,2,,,4,6,2,4,3,6,5,7
subj.15,Albert,m,Dansky,yes,26/06/2018,24/01/2023,54,2,forced,3,,,2,7,5,3,7,6,5,3
subj.16,Chomsky,m,Rottweiler,yes,17/12/2015,18/01/2023,85,1,self-ordered,1,,,4,3,5,3,1,8,7,6
subj.16,Chomsky,m,Rottweiler,yes,17/12/2015,18/01/2023,85,1,self-ordered,2,,,5,6,4,2,8,5,3,1
subj.16,Chomsky,m,Rottweiler,yes,17/12/2015,18/01/2023,85,1,self-ordered,3,,,4,3,2,1,7,6,5,4
subj.16,Chomsky,m,Rottweiler,yes,17/12/2015,18/01/2023,85,2,forced,1,,,1,2,6,5,3,1,8,7
subj.16,Chomsky,m,Rottweiler,yes,17/12/2015,18/01/2023,85,2,forced,2,,,4,6,2,1,3,4,5,2
subj.16,Chomsky,m,Rottweiler,yes,17/12/2015,18/01/2023,85,2,forced,3,,,8,3,7,5,4,3,1,8
subj.17,Fendi,m,Mix,yes,20/04/2019,21/01/2023,45,1,self-ordered,1,,,5,6,1,2,4,6,5,1
subj.17,Fendi,m,Mix,yes,20/04/2019,21/01/2023,45,1,self-ordered,2,,,4,5,7,8,1,2,3,4
subj.17,Fendi,m,Mix,yes,20/04/2019,21/01/2023,45,1,self-ordered,3,,,3,4,5,6,7,8,1,2
subj.17,Fendi,m,Mix,yes,20/04/2019,21/01/2023,45,2,forced,1,,,4,5,8,1,2,3,4,5
subj.17,Fendi,m,Mix,yes,20/04/2019,21/01/2023,45,2,forced,2,,,3,1,6,7,6,1,2,4
subj.17,Fendi,m,Mix,yes,20/04/2019,21/01/2023,45,2,forced,3,,,8,6,7,8,2,4,5,8
subj.18,Io,f,Whippet,no,07/01/2014,28/01/2023,108,1,self-ordered,1,,,1,2,5,7,9,1,2,4
subj.18,Io,f,Whippet,no,07/01/2014,28/01/2023,108,1,self-ordered,2,,,1,2,5,6,5,3,1,2
subj.18,Io,f,Whippet,no,07/01/2014,28/01/2023,108,1,self-ordered,3,,,6,5,4,7,2,1,8,7
subj.18,Io,f,Whippet,no,07/01/2014,28/01/2023,108,2,forced,1,,,8,6,1,2,4,6,7,2
subj.18,Io,f,Whippet,no,07/01/2014,28/01/2023,108,2,forced,2,,,2,5,6,7,3,4,2,5
subj.18,Io,f,Whippet,no,07/01/2014,28/01/2023,108,2,forced,3,,,3,1,6,4,3,2,8,7
