subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,block,condition,trial_num,first_arm_,second_arm_,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm
subj.17,Fendi,m,Mix,yes,20.04.2019,,2,forced,1,,,2,7,1,2,3,4,5,6
subj.17,Fendi,m,Mix,yes,20.04.2019,,2,forced,2,,,4,8,1,2,3,4,5,6
subj.17,Fendi,m,Mix,yes,20.04.2019,,2,forced,3,,,6,1,2,3,4,5,6,7
subj.25,Lenny4,m,Podenco,yes,14.06.2019,,1,self-ordered,1,,,6,1,6,2,7,6,3,1
subj.25,Lenny4,m,Podenco,yes,14.06.2019,,1,self-ordered,2,,,6,8,6,3,1,7,8,6
subj.25,Lenny4,m,Podenco,yes,14.06.2019,,1,self-ordered,3,,,5,3,8,6,3,8,7,5
subj.25,Lenny4,m,Podenco,yes,14.06.2019,,2,forced,1,,,7,4,5,3,8,6,3,4
subj.25,Lenny4,m,Podenco,yes,14.06.2019,,2,forced,2,,,6,1,3,5,8,6,3,5
subj.25,Lenny4,m,Podenco,yes,14.06.2019,,2,forced,3,,,5,8,2,7,2,7,8,6
subj.26,Gandalf,m,Podenco,yes,15.07.2019,,1,self-ordered,1,,,4,6,7,1,4,6,7,1
subj.26,Gandalf,m,Podenco,yes,15.07.2019,,1,self-ordered,2,,,2,4,6,7,8,6,4,2
subj.26,Gandalf,m,Podenco,yes,15.07.2019,,1,self-ordered,3,,,4,5,6,7,8,1,2,
subj.26,Gandalf,m,Podenco,yes,15.07.2019,,2,forced,1,,,3,5,6,7,8,1,2,3
subj.26,Gandalf,m,Podenco,yes,15.07.2019,,2,forced,2,,,8,2,4,5,6,7,1,2
subj.26,Gandalf,m,Podenco,yes,15.07.2019,,2,forced,3,,,7,1,2,4,5,6,7,8
subj.28,Timo2,m,Mix(SiberianHusky),no,01.09.2019,,1,forced,1,,,5,7,4,5,6,8,1,2
subj.28,Timo2,m,Mix(SiberianHusky),no,01.09.2019,,1,forced,2,,,4,8,5,6,4,3,4,1
subj.28,Timo2,m,Mix(SiberianHusky),no,01.09.2019,,1,forced,3,,,6,2,5,7,8,1,6,5
subj.28,Timo2,m,Mix(SiberianHusky),no,01.09.2019,,2,self-ordered,1,,,4,5,6,8,2,1,7,5
subj.28,Timo2,m,Mix(SiberianHusky),no,01.09.2019,,2,self-ordered,2,,,1,3,2,8,6,4,3,1
subj.28,Timo2,m,Mix(SiberianHusky),no,01.09.2019,,2,self-ordered,3,,,1,7,5,2,8,6,4,5
subj.32,Mailo,m,Mix,yes,09.07.2015,,1,forced,1,,,1,7,5,4,3,2,1,8
subj.32,Mailo,m,Mix,yes,09.07.2015,,1,forced,2,,,2,4,1,8,7,6,5,4
subj.32,Mailo,m,Mix,yes,09.07.2015,,1,forced,3,,,8,3,2,1,8,7,6,5
subj.32,Mailo,m,Mix,yes,09.07.2015,,2,self-ordered,1,,,3,2,1,8,7,6,5,4
subj.32,Mailo,m,Mix,yes,09.07.2015,,2,self-ordered,2,,,8,6,5,2,1,8,7,6
subj.32,Mailo,m,Mix,yes,09.07.2015,,2,self-ordered,3,,,6,8,7,6,5,4,3,2
subj.34,Lea3,f,ParsonRussellTerrier,yes,30.08.2014,,1,forced,1,,,1,7,2,3,4,5,6,7
subj.34,Lea3,f,ParsonRussellTerrier,yes,30.08.2014,,1,forced,2,,,4,8,2,3,5,6,7,8
subj.34,Lea3,f,ParsonRussellTerrier,yes,30.08.2014,,1,forced,3,,,3,6,1,2,4,5,7,8
subj.34,Lea3,f,ParsonRussellTerrier,yes,30.08.2014,,2,self-ordered,1,,,3,5,6,7,8,2,4,6
subj.34,Lea3,f,ParsonRussellTerrier,yes,30.08.2014,,2,self-ordered,2,,,3,4,5,6,7,8,2,3
subj.12,Oscar2,m,IlkyMoonHavaneser,yes,24.11.2020,,1,self-ordered,1,,,6,7,8,1,7,6,5,4
subj.12,Oscar2,m,IlkyMoonHavaneser,yes,24.11.2020,,1,self-ordered,2,,,8,6,5,2,1,8,7,6
subj.12,Oscar2,m,IlkyMoonHavaneser,yes,24.11.2020,,1,self-ordered,3,,,3,2,1,8,4,8,7,3
subj.12,Oscar2,m,IlkyMoonHavaneser,yes,24.11.2020,,2,forced,1,,,2,8,3,2,1,7,6,5
subj.12,Oscar2,m,IlkyMoonHavaneser,yes,24.11.2020,,2,forced,2,,,7,4,1,2,3,4,6,7
subj.12,Oscar2,m,IlkyMoonHavaneser,yes,24.11.2020,,2,forced,3,,,5,3,4,5,6,8,1,8
subj.31,Freeda,f,Kokoni,yes,25.12.2021,,1,forced,1,,,8,5,3,2,4,3,1,2
subj.31,Freeda,f,Kokoni,yes,25.12.2021,,1,forced,2,,,2,7,5,4,3,5,4,8
subj.31,Freeda,f,Kokoni,yes,25.12.2021,,1,forced,3,,,1,4,3,1,3,5,7,1
subj.31,Freeda,f,Kokoni,yes,25.12.2021,,2,self-ordered,1,,,2,4,8,6,4,2,3,5
subj.31,Freeda,f,Kokoni,yes,25.12.2021,,2,self-ordered,2,,,3,5,3,1,2,3,4,5
subj.31,Freeda,f,Kokoni,yes,25.12.2021,,2,self-ordered,3,,,6,4,2,8,3,5,6,1
subj.30,Ylvie,f,DeutscherPinscher,,02.03.2023,,1,forced,1,,,5,6,5,4,3,2,4,3
subj.30,Ylvie,f,DeutscherPinscher,,02.03.2023,,1,forced,2,,,2,1,2,1,8,7,6,5
subj.30,Ylvie,f,DeutscherPinscher,,02.03.2023,,1,forced,3,,,7,6,5,4,3,2,1,8
subj.30,Ylvie,f,DeutscherPinscher,,02.03.2023,,2,self-ordered,1,,,7,6,5,4,3,2,4,3
subj.30,Ylvie,f,DeutscherPinscher,,02.03.2023,,2,self-ordered,2,,,2,1,2,1,8,7,6,5
subj.30,Ylvie,f,DeutscherPinscher,,02.03.2023,,2,self-ordered,3,,,7,6,5,4,3,2,1,8
