ID,Subject,trial_number,Trial start,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,condition,first_error_position,return_to_arm,Lag_from_last_choice,time_delay,return_delay,means,time_delay_adjusted,time_fe,time_fe_after,time_fe_before
27,Chomsky,3,666.9496336,672.6829638,678.6496272,685.3496235,693.8996188,702.2829475,712.2162754,720.8329374,728.9995995,#N/A,self-ordered,8,1,7,56.3166357,56.3166357,7.756245738,7.260811172,#N/A,#N/A,8.1666621
28,Chomsky,4,972.0661327,980.8161279,989.2161233,1008.666113,1013.199443,1021.549439,1032.632766,1039.932762,1046.682758,#N/A,forced,6,1,5,51.8166381,51.8166381,9.327078162,5.555505936,7.299996,7.299996,11.083327
29,Chomsky,5,1189.299347,1195.599343,1202.699339,1213.416,1221.832662,1227.932659,1235.132655,1240.915985,1252.265979,#N/A,forced,6,1,5,39.533312,39.533312,7.870829,5.022763422,5.78333,5.78333,7.199996
30,Chomsky,6,1369.949247,1385.332572,1390.449236,1401.232564,1410.015892,1420.332553,1425.465884,1433.432546,1441.665875,1447.665871,forced,6,2,4,40.133312,35.016648,8.9645785,4.476876632,7.966662,7.966662,5.133331
31,Diego6,1,324.2832472,331.9499118,342.1165758,354.1165726,360.116571,371.2832347,391.1832294,401.0498934,454.6332125,#N/A,forced,8,1,7,122.6833007,122.6833007,16.29374566,7.529471936,#N/A,#N/A,53.5833191
32,Diego6,2,563.4665169,568.7998489,575.1665138,583.9331782,588.4998436,594.8331753,620.6331684,631.2164989,638.7831636,#N/A,forced,4,1,3,19.6999947,19.6999947,9.414580838,2.092498332,6.3333317,6.3333317,4.5666654
33,Diego6,3,730.6331392,734.7164714,740.4498033,748.5331344,753.1331332,758.9331317,765.6997965,778.3664598,784.183125,796.3497884,forced,7,3,4,43.6499884,29.8333254,6.693748225,6.5210084,5.8166652,5.8166652,12.6666633
34,Diego6,4,874.7164342,885.9497646,891.4164298,897.3497616,916.4830898,924.5330877,930.0997529,952.349747,960.4664115,967.5330763,self-ordered,4,2,2,30.5333252,25.06666,10.71874716,2.84859086,8.0499979,8.0499979,19.1333282
35,Diego6,5,1046.199722,1056.399719,1061.133051,1065.699717,1072.633048,1078.96638,1085.099712,1093.533043,1101.149707,1108.966372,self-ordered,9,#N/A,#N/A,52.566653,#N/A,6.868748125,7.653017994,#N/A,#N/A,#N/A
36,Diego6,6,1201.799681,1213.649678,1219.333009,1224.649675,1230.41634,1236.449671,1243.14967,1251.116334,1260.899665,1268.21633,self-ordered,7,4,3,37.466656,20.699994,7.387498,5.071629935,9.783331,9.783331,7.966664
37,Emil10,1,244.8832104,252.9165397,267.8831989,282.216525,338.9831632,352.01649,366.5664827,383.1498077,399.6831327,#N/A,forced,9,#N/A,#N/A,#N/A,#N/A,19.34999029,#N/A,#N/A,#N/A,#N/A
38,Emil10,2,491.6830866,496.7997507,507.999745,535.8497311,543.9663936,559.0997194,622.916354,634.9996813,663.6830002,#N/A,forced,8,1,7,166.8832495,166.8832495,21.4999892,7.762015504,#N/A,#N/A,28.6833189
39,Emil10,3,774.999611,781.1662746,798.1329327,809.8495935,829.1162505,838.2829126,847.7995745,864.7828993,901.3828809,#N/A,forced,5,2,3,57.116638,40.1499799,15.79790874,3.615455624,9.5166619,9.5166619,9.1666621
40,Emil10,4,991.0828359,1002.299497,1014.199491,1024.099486,1035.216147,1050.032806,1068.249464,1099.949448,1114.366107,#N/A,self-ordered,5,1,4,47.733309,47.733309,15.41040889,3.097471933,18.216658,18.216658,14.816659
41,Emil10,5,1393.299301,1490.582585,1501.749246,1520.199237,1529.482566,1540.549227,1589.849202,1610.999191,1620.13252,#N/A,self-ordered,7,5,2,120.416606,70.449964,28.35415238,4.246877297,9.133329,9.133329,21.149989
42,Emil10,6,1703.299145,1729.415799,1737.999128,1764.165781,1775.332442,1811.515757,1824.699084,1836.549078,1856.365735,#N/A,self-ordered,6,1,5,95.283285,95.283285,19.13332375,4.979965125,11.849994,11.849994,13.183327
43,Fendi,1,300.2,317.7166667,332.3666667,340.35,355.15,363.7833333,375.25,381.6666667,388.2833333,#N/A,self-ordered,6,2,4,57.5333333,42.8833333,11.01041666,5.225354777,6.4166667,6.4166667,11.4666667
44,Fendi,2,481.9,489.1666667,492.4333333,500.2166667,507.8,512.35,519.15,525.4666667,534.1333333,#N/A,self-ordered,8,1,7,44.9666666,44.9666666,6.529166663,6.887045304,#N/A,#N/A,8.6666666
45,Fendi,3,625.9666667,633.5333333,637.9833333,645.1333333,649.8833333,658.0166667,666.1166667,675.0166667,680.2833333,695.3166667,self-ordered,9,#N/A,#N/A,61.7833334,#N/A,6.789583325,9.099723863,#N/A,#N/A,#N/A
46,Fendi,4,897.2666667,911.6833333,917.1,927.6166667,930.9333333,937.5666667,942.3666667,948.3,953.3666667,958.5,forced,7,1,6,36.6166667,36.6166667,7.0125,5.22162805,5.0666667,5.0666667,5.9333333
47,Fendi,5,1049.916667,1058.866667,1065.1,1075.316667,1079.666667,1085.783333,1089.95,1094.883333,1098.816667,1106.783333,forced,5,3,2,26.916666,10.466666,6.1125,4.40354454,4.166667,4.166667,6.116666
48,Fendi,6,1201.416667,1212.083333,1216.366667,1222.816667,1226.666667,1231.316667,1236.516667,1240.6,1246.916667,1252.533333,forced,4,1,3,14.583334,14.583334,5.6875,2.564102681,4.65,4.65,3.85
