"","Estimate","SE","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-1.72","0.10","    NA",NA,"   NA",-17.9475874128203,5.01208468436097e-72
"conditionself-ordered"," 0.00","0.08","  0.00",1,"0.959",0.0521148250372723,0.958437200347012
"z.lag.from.last.choice"," 1.08","0.04","179.12",1,"<0.001",30.7779677576843,5.16758966072806e-208
"any.error.earlier1"," 0.14","0.08","  2.81",1,"0.094",1.69226847495592,0.0905947957580851
"sexm","-0.07","0.10","  0.46",1,"0.497",-0.680554620910951,0.496153349045108
"z.age"," 0.09","0.05","  2.99",1,"0.084",1.76266873267144,0.0779563772259505
"z.trial_number","-0.05","0.04","  2.05",1,"0.152",-1.43695216782218,0.1507315852167
"z.session","-0.05","0.04","  1.93",1,"0.165",-1.38939524228997,0.164712596245949
